canvas_type,size,colors,price
Rolled,32x40,12,179.00
Rolled,32x40,24,219.00
Rolled,32x40,36,289.00
Rolled,32x40,48,359.00
Rolled,40x50,12,239.00
Rolled,40x50,24,299.00
Rolled,40x50,36,359.00
Rolled,40x50,48,439.00
Rolled,60x75,12,319.00
Rolled,60x75,24,369.00
Rolled,60x75,36,439.00
Rolled,60x75,48,499.00
Stretched,32x40,12,249.00
Stretched,32x40,24,299.00
Stretched,32x40,36,369.00
Stretched,32x40,48,439.00
Stretched,40x50,12,319.00
Stretched,40x50,24,379.00
Stretched,40x50,36,439.00
Stretched,40x50,48,509.00
Stretched,60x75,12,389.00
Stretched,60x75,24,449.00
Stretched,60x75,36,509.00
Stretched,60x75,48,589.00
